,,Neighborhood Code,Neighborhood Name,Total Population,White,   Black/ African American,     American Indian and Alaska Native,      Asian,Native Hawaiian and Other Pacific Islander,  Some Other Race,,Hispanic Origin (of any race)
Queens,081,QN38,Pomonok-Flushing Heights-Hillcrest,"34,034","11,918","4,420",57,"10,694",19,139,805,"5,982"
Queens,081,QN41,Fresh Meadows-Utopia,"17,812","5,864","1,355",17,"8,381",2,74,356,"1,763"
Queens,081,QN42,Oakland Gardens,"28,237","12,214",711,10,"12,427",5,69,408,"2,393"
Queens,081,QN43,Bellerose,"25,287","7,974","1,882",61,"9,821",41,494,936,"4,078"
Queens,081,QN44,Glen Oaks-Floral Park-New Hyde Park,"22,571","10,914","1,034",65,"7,576",5,204,691,"2,082"
Queens,081,QN45,Douglas Manor-Douglaston-Little Neck,"24,739","13,195",317,15,"8,818",2,69,308,"2,015"
Queens,081,QN46,Bayside-Bayside Hills,"43,808","20,550","1,160",24,"16,324",7,112,565,"5,066"
Queens,081,QN47,Ft. Totten-Bay Terrace-Clearview,"21,751","14,879",283,12,"4,446",1,29,246,"1,855"
Queens,081,QN48,Auburndale,"19,996","8,954",209,12,"8,169",0,25,284,"2,343"
Queens,081,QN49,Whitestone,"30,773","20,956",242,18,"5,362",2,90,351,"3,752"
Queens,081,QN50,Elmhurst-Maspeth,"25,521","3,586",232,30,"14,310",6,48,523,"6,786"
Queens,081,QN51,Murray Hill,"51,739","14,423",858,43,"27,184",3,120,836,"8,272"
Queens,081,QN52,East Flushing,"26,982","5,176",326,33,"15,880",13,84,494,"4,976"
Queens,081,QN53,Woodhaven,"56,674","9,798","3,458",250,"9,856",23,"1,371","1,612","30,306"
Queens,081,QN54,Richmond Hill,"62,982","7,078","6,960",657,"17,252",116,"4,139","4,136","22,644"
Queens,081,QN55,South Ozone Park,"75,878","5,213","19,477","1,064","17,691",152,"7,999","8,337","15,945"
Queens,081,QN56,Ozone Park,"21,376","6,511","1,188",82,"4,143",2,559,779,"8,112"
Queens,081,QN57,Lindenwood-Howard Beach,"26,148","20,069",413,28,923,5,62,249,"4,399"
Queens,081,QN60,Kew Gardens,"23,278","11,478","1,515",37,"3,628",11,257,701,"5,651"
Queens,081,QN61,Jamaica,"53,751","1,949","11,946",466,"13,073",66,"2,814","2,647","20,790"
Queens,081,QN62,Queensboro Hill,"20,800","3,597",246,10,"13,526",2,51,436,"2,932"
Queens,081,QN63,Woodside,"45,099","10,140",592,76,"17,990",5,221,975,"15,100"
Queens,081,QN66,Laurelton,"24,453",358,"22,021",69,167,4,91,403,"1,340"
Queens,081,QN68,Queensbridge-Ravenswood-Long Island City,"20,030","2,946","5,183",62,"3,096",6,248,385,"8,104"
Queens,081,QN70,Astoria,"78,793","38,749","3,553",137,"12,759",30,936,"1,714","20,915"
Queens,081,QN71,Old Astoria,"27,814","10,621","2,801",60,"4,369",16,270,604,"9,073"
Queens,081,QN72,Steinway,"47,534","31,163",850,53,"4,972",24,326,920,"9,226"
Queens,081,QN76,Baisley Park,"34,603",292,"26,608",240,"1,596",14,860,"1,109","3,884"
Queens,081,QN98,Airport,0,0,0,0,0,0,0,0,0
Queens,081,QN99,park-cemetery-etc-Queens,436,255,28,0,40,0,0,5,108
Staten Island,085,SI01,Annadale-Huguenot-Prince's Bay-Eltingville,"27,770","24,319",146,27,"1,228",15,16,219,"1,800"
Staten Island,085,SI05,New Springville-Bloomfield-Travis,"39,597","25,516","1,706",59,"6,220",24,108,655,"5,309"
Staten Island,085,SI07,Westerleigh,"24,102","18,052",624,30,"1,745",7,29,404,"3,211"
Staten Island,085,SI08,Grymes Hill-Clifton-Fox Hills,"22,460","6,625","7,425",57,"2,601",4,55,435,"5,258"
Staten Island,085,SI11,Charleston-Richmond Valley-Tottenville,"23,313","19,685",599,13,720,5,39,200,"2,052"
Staten Island,085,SI12,Mariner's Harbor-Arlington-Port Ivory-Graniteville,"31,474","7,412","9,455",68,"2,698",7,101,691,"11,042"
Staten Island,085,SI14,Grasmere-Arrochar-Ft. Wadsworth,"16,079","10,450",770,24,"1,722",13,36,284,"2,780"
Staten Island,085,SI22,West New Brighton-New Brighton-St. George,"33,551","8,859","10,630",100,"1,691",10,123,835,"11,303"
Staten Island,085,SI24,Todt Hill-Emersn Hill-Heartland Villg-Lighthse Hill,"30,714","22,571",527,33,"4,039",0,61,363,"3,120"
Staten Island,085,SI25,Oakwood-Oakwood Beach,"22,049","18,416",282,26,905,1,13,197,"2,209"
Staten Island,085,SI28,Port Richmond,"20,191","8,115","3,392",51,784,6,79,377,"7,387"
Staten Island,085,SI32,Rossville-Woodrow,"20,763","18,193",97,0,836,1,42,132,"1,462"
Staten Island,085,SI35,New Brighton-Silver Lake,"17,525","10,552","1,997",23,"1,027",9,41,290,"3,586"
Staten Island,085,SI36,Old Town-Dongan Hills-South Beach,"24,835","18,381",763,36,"1,860",9,69,336,"3,381"
Staten Island,085,SI37,Stapleton-Rosebank,"26,453","9,910","5,097",72,"2,565",12,102,427,"8,268"
Staten Island,085,SI45,New Dorp-Midland Beach,"21,896","17,136",261,28,"1,148",2,31,215,"3,075"
Staten Island,085,SI48,Arden Heights,"25,238","20,328",373,22,"1,675",4,27,249,"2,560"
Staten Island,085,SI54,Great Kills,"40,720","35,649",169,26,"1,233",8,56,331,"3,248"
Staten Island,085,SI99,park-cemetery-etc-Staten Island,0,0,0,0,0,0,0,0,0
